ai_adoption_rate,productivity_impact_score,displacement_risk_index,jobs_displaced_count,jobs_created_count,reskilling_investment_usd,avg_wage_change_pct,ai_tool_usage_hours_per_week,workforce_size,data_confidence_score,skill_category_name,skill_category_code,ai_replaceability_score,ai_augmentation_potential,median_reskilling_duration_months,typical_education_level,global_worker_share_pct,industry_name,industry_sector,automation_susceptibility,avg_ai_investment_pct_revenue,ai_adoption_stage,global_workforce_millions,primary_ai_use_case,year,quarter,year_quarter_label,period_start_date,is_pandemic_period,generative_ai_era,country_code,country_name,region,development_tier,gdp_per_capita_usd,digital_infrastructure_score,ai_policy_maturity,internet_penetration_pct,stem_graduates_per_100k
9.92,5.47,7.84,246,189,112782.23,0.41,0.0,5845,0.613,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2022,2,2022-Q2,2022-04-01,False,False,MX,Mexico,Latin America,Emerging,6275753.65,48.7,Developing,76.9,667.0
24.4,6.98,5.84,15611,10585,268244.9,5.19,4.6,826001,0.891,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,2023,1,2023-Q1,2023-01-01,False,True,IL,Israel,Middle East,Developed,19806557.87,81.8,Developing,96.4,2798.0
29.54,1.82,0.37,26,7,21045.79,-1.66,3.8,8012,0.709,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Insurance,Finance,64.8,2.13,Piloting,40.7,Underwriting & claims automation,2022,4,2022-Q4,2022-10-01,False,True,TH,Thailand,Asia-Pacific,Emerging,6556439.11,54.8,Established,62.2,1901.0
22.59,6.67,2.38,664,429,265878.31,0.24,8.9,37940,0.772,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,2021,3,2021-Q3,2021-07-01,True,False,CA,Canada,North America,Developed,40026686.31,84.5,Developing,81.3,1916.0
49.87,8.26,4.2,1706,722,36658.88,6.41,14.2,96604,0.874,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Government & Public Sector,Public Services,54.9,2.5,Exploring,74.0,Citizen service automation,2023,1,2023-Q1,2023-01-01,False,True,PH,Philippines,Asia-Pacific,Emerging,5380846.61,54.2,Developing,64.2,1780.0
32.12,6.47,6.64,5975,3355,320243.6,0.12,0.4,109459,0.821,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Information Technology,Technology,51.8,1.62,Scaling,12.1,Predictive analytics & code generation,2022,1,2022-Q1,2022-01-01,True,False,IE,Ireland,Europe,Developed,25181304.06,70.7,Advanced,86.6,2333.0
58.1,6.61,0.78,196,55,200095.78,0.54,0.2,28048,0.9,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Legal Services,Professional Services,56.8,3.75,Piloting,8.6,Contract review & legal research,2024,1,2024-Q1,2024-01-01,False,True,IT,Italy,Europe,Developed,16666483.59,62.1,Established,78.0,2000.0
34.08,6.58,4.69,1534,440,31858.37,-2.39,0.0,43244,0.801,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Energy & Utilities,Industrial,46.8,4.73,Scaling,80.3,Grid optimisation & demand forecasting,2021,3,2021-Q3,2021-07-01,True,False,SA,Saudi Arabia,Middle East,Emerging,6933195.37,35.5,Advanced,68.4,989.0
37.36,4.53,3.58,6791,4524,11127.3,1.01,5.0,410350,0.725,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Insurance,Finance,64.8,2.13,Piloting,40.7,Underwriting & claims automation,2022,4,2022-Q4,2022-10-01,False,True,EG,Egypt,Middle East,Emerging,9346417.78,69.6,Advanced,50.1,780.0
58.86,6.22,4.29,3528,3006,29027.56,2.41,8.0,178757,0.355,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2024,2,2024-Q2,2024-04-01,False,True,CA,Canada,North America,Developed,40026686.31,84.5,Developing,81.3,1916.0
36.97,6.26,2.57,130,100,27216.04,,6.2,11423,0.723,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Government & Public Sector,Public Services,54.9,2.5,Exploring,74.0,Citizen service automation,2024,3,2024-Q3,2024-07-01,False,True,NL,Netherlands,Europe,Developed,36126754.52,72.4,Established,88.1,2040.0
46.74,3.83,8.52,4727,3409,33876.86,,7.5,63817,0.768,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,2024,1,2024-Q1,2024-01-01,False,True,KR,South Korea,Asia-Pacific,Developed,33377849.14,85.6,Developing,73.4,1640.0
34.51,3.71,2.21,221,133,11288.67,5.21,0.4,28687,0.876,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Agriculture,Primary,58.7,1.47,Exploring,15.9,Crop monitoring & yield prediction,2022,3,2022-Q3,2022-07-01,False,False,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0
61.2,4.13,2.83,2652,1612,80686.53,7.59,11.6,229768,0.759,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Telecommunications,Technology,32.9,1.74,Mature,97.4,Network optimisation & customer service bots,2024,2,2024-Q2,2024-04-01,False,True,FR,France,Europe,Developed,21084279.93,82.4,Established,78.4,2239.0
53.96,7.91,3.54,904,616,212188.9,1.1,3.1,28092,0.783,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Agriculture,Primary,58.7,1.47,Exploring,15.9,Crop monitoring & yield prediction,2024,3,2024-Q3,2024-07-01,False,True,MX,Mexico,Latin America,Emerging,6275753.65,48.7,Developing,76.9,667.0
71.5,3.39,0.4,315,173,46087.93,2.71,3.2,170060,0.914,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2023,3,2023-Q3,2023-07-01,False,True,KR,South Korea,Asia-Pacific,Developed,33377849.14,85.6,Developing,73.4,1640.0
32.08,5.74,3.4,269,110,242408.92,7.96,4.9,26221,0.806,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2023,4,2023-Q4,2023-10-01,False,True,ZA,South Africa,Africa,Emerging,4133385.53,48.0,Established,63.6,1393.0
24.36,7.97,3.76,3820,1315,118600.94,-6.4,1.7,119941,0.959,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,2021,2,2021-Q2,2021-04-01,True,False,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0
57.59,7.41,5.19,1699,1432,300851.92,-3.5,9.4,43250,0.888,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,2024,1,2024-Q1,2024-01-01,False,True,NL,Netherlands,Europe,Developed,36126754.52,72.4,Established,88.1,2040.0
16.41,5.4,5.61,1021,667,107777.28,2.02,3.1,33199,0.852,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Marketing & Advertising,Professional Services,19.8,1.31,Exploring,371.0,Ad targeting & content generation,2021,3,2021-Q3,2021-07-01,True,False,PH,Philippines,Asia-Pacific,Emerging,5380846.61,54.2,Developing,64.2,1780.0
29.8,4.76,2.39,626,158,21579.67,-4.36,12.5,29629,0.843,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Transportation & Logistics,Industrial,41.9,3.4,Piloting,36.3,Route optimisation & autonomous vehicles,2023,4,2023-Q4,2023-10-01,False,True,AU,Australia,Asia-Pacific,Developed,32450639.81,88.5,Nascent,90.2,2139.0
57.49,3.79,5.5,346,148,446020.73,6.21,4.9,13388,0.918,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Professional Services,Professional Services,56.8,3.05,Piloting,526.2,Document automation & research synthesis,2024,4,2024-Q4,2024-10-01,False,True,VN,Vietnam,Asia-Pacific,Emerging,9640897.23,54.9,Established,56.1,377.0
39.59,7.66,1.8,707,477,306682.46,-1.63,0.8,78159,0.856,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Information Technology,Technology,51.8,1.62,Scaling,12.1,Predictive analytics & code generation,2023,1,2023-Q1,2023-01-01,False,True,NG,Nigeria,Africa,Emerging,11129326.1,47.8,Developing,57.4,1529.0
29.56,7.04,6.14,3339,2186,56622.76,13.36,4.4,72551,0.906,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Automotive,Industrial,50.5,3.07,Exploring,64.0,Autonomous driving & quality control,2021,4,2021-Q4,2021-10-01,True,False,AE,United Arab Emirates,Middle East,Developed,39190676.05,72.9,Developing,89.6,2113.0
52.92,6.27,4.39,914,458,55032.08,8.16,6.1,36789,0.617,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Transportation & Logistics,Industrial,41.9,3.4,Piloting,36.3,Route optimisation & autonomous vehicles,2023,2,2023-Q2,2023-04-01,False,True,VN,Vietnam,Asia-Pacific,Emerging,9640897.23,54.9,Established,56.1,377.0
14.39,6.65,2.91,299,145,27543.37,-2.35,2.9,26594,0.868,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Telecommunications,Technology,32.9,1.74,Mature,97.4,Network optimisation & customer service bots,2022,3,2022-Q3,2022-07-01,False,False,US,United States,North America,Developed,33586746.94,65.5,Nascent,95.5,2270.0
12.9,4.66,3.13,474,125,272074.31,4.89,5.5,36630,0.605,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Healthcare,Healthcare,45.0,1.5,Piloting,22.9,Diagnostic imaging & drug discovery,2021,4,2021-Q4,2021-10-01,True,False,IL,Israel,Middle East,Developed,19806557.87,81.8,Developing,96.4,2798.0
43.79,9.35,0.87,2283,2013,348588.48,-2.98,4.2,724120,0.788,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Manufacturing,Industrial,95.0,1.8,Piloting,116.1,Predictive maintenance & robotics,2021,3,2021-Q3,2021-07-01,True,False,ID,Indonesia,Asia-Pacific,Emerging,7463837.54,40.6,Developing,58.6,1520.0
53.34,6.66,5.66,734,223,44043.46,5.04,9.9,16358,0.637,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Agriculture,Primary,58.7,1.47,Exploring,15.9,Crop monitoring & yield prediction,2023,3,2023-Q3,2023-07-01,False,True,SG,Singapore,Asia-Pacific,Developed,17849405.31,64.4,Developing,78.8,2049.0
37.15,5.75,3.52,313,212,35652.65,15.27,2.7,12484,0.509,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Pharmaceuticals,Healthcare,65.8,5.31,Mature,47.5,Drug discovery & clinical trial matching,2024,4,2024-Q4,2024-10-01,False,True,CA,Canada,North America,Developed,40026686.31,84.5,Developing,81.3,1916.0
28.51,3.35,0.41,169,60,49101.66,,7.9,41788,0.751,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Insurance,Finance,64.8,2.13,Piloting,40.7,Underwriting & claims automation,2022,4,2022-Q4,2022-10-01,False,True,IL,Israel,Middle East,Developed,19806557.87,81.8,Developing,96.4,2798.0
25.16,5.78,3.41,444,137,87358.91,-1.48,0.2,24369,0.73,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Mining & Resources,Primary,61.3,4.97,Scaling,28.3,Autonomous extraction & exploration,2021,3,2021-Q3,2021-07-01,True,False,IT,Italy,Europe,Developed,16666483.59,62.1,Established,78.0,2000.0
0.5,7.54,3.13,270,229,101320.95,-3.9,,22232,0.794,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Energy & Utilities,Industrial,46.8,4.73,Scaling,80.3,Grid optimisation & demand forecasting,2022,1,2022-Q1,2022-01-01,True,False,KR,South Korea,Asia-Pacific,Developed,33377849.14,85.6,Developing,73.4,1640.0
40.06,9.16,2.16,1604,500,18866.85,-1.4,,108508,0.836,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Education,Public Services,29.4,2.96,Mature,226.1,Adaptive learning platforms,2021,2,2021-Q2,2021-04-01,True,False,PH,Philippines,Asia-Pacific,Emerging,5380846.61,54.2,Developing,64.2,1780.0
30.18,7.86,6.31,436,314,626632.22,-0.31,0.0,14672,0.886,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Insurance,Finance,64.8,2.13,Piloting,40.7,Underwriting & claims automation,2021,4,2021-Q4,2021-10-01,True,False,PH,Philippines,Asia-Pacific,Emerging,5380846.61,54.2,Developing,64.2,1780.0
60.4,6.34,5.65,3040,1302,67309.77,-9.82,0.0,147727,0.74,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,2024,1,2024-Q1,2024-01-01,False,True,AU,Australia,Asia-Pacific,Developed,32450639.81,88.5,Nascent,90.2,2139.0
37.62,6.11,2.73,472,419,40696.65,10.64,,37571,0.87,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Mining & Resources,Primary,61.3,4.97,Scaling,28.3,Autonomous extraction & exploration,2023,2,2023-Q2,2023-04-01,False,True,EG,Egypt,Middle East,Emerging,9346417.78,69.6,Advanced,50.1,780.0
27.02,5.25,2.98,15733,4220,76549.35,2.67,1.9,573547,0.582,Social & Interpersonal,SOC-INT,42.1,35.3,7.0,Varies by role,11.7,Professional Services,Professional Services,56.8,3.05,Piloting,526.2,Document automation & research synthesis,2022,4,2022-Q4,2022-10-01,False,True,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0
60.78,5.38,8.98,1068,349,2043821.86,5.19,5.3,20282,0.671,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,2022,4,2022-Q4,2022-10-01,False,True,IN,India,Asia-Pacific,Emerging,19085020.52,47.1,Developing,56.9,693.0
0.5,7.62,3.66,1225,810,57096.67,2.03,6.0,88217,0.643,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,2022,2,2022-Q2,2022-04-01,False,False,US,United States,North America,Developed,33586746.94,65.5,Nascent,95.5,2270.0
9.37,3.05,7.2,1518,718,100429.14,4.81,1.7,58824,0.783,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Mining & Resources,Primary,61.3,4.97,Scaling,28.3,Autonomous extraction & exploration,2024,3,2024-Q3,2024-07-01,False,True,MX,Mexico,Latin America,Emerging,6275753.65,48.7,Developing,76.9,667.0
53.28,6.47,4.48,1156,762,507685.59,0.96,3.4,32368,0.838,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Energy & Utilities,Industrial,46.8,4.73,Scaling,80.3,Grid optimisation & demand forecasting,2023,3,2023-Q3,2023-07-01,False,True,NL,Netherlands,Europe,Developed,36126754.52,72.4,Established,88.1,2040.0
37.93,7.49,2.33,111,75,22475.37,-0.49,0.8,12280,0.617,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Energy & Utilities,Industrial,46.8,4.73,Scaling,80.3,Grid optimisation & demand forecasting,2022,2,2022-Q2,2022-04-01,False,False,IL,Israel,Middle East,Developed,19806557.87,81.8,Developing,96.4,2798.0
13.94,5.51,4.71,2877,703,301570.73,2.43,0.0,61224,0.927,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Mining & Resources,Primary,61.3,4.97,Scaling,28.3,Autonomous extraction & exploration,2021,1,2021-Q1,2021-01-01,True,False,NL,Netherlands,Europe,Developed,36126754.52,72.4,Established,88.1,2040.0
32.67,4.57,1.98,322,270,258105.54,-3.73,0.0,47827,0.679,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,2022,2,2022-Q2,2022-04-01,False,False,JP,Japan,Asia-Pacific,Developed,27613361.71,69.8,Established,99.5,1723.0
43.57,3.23,6.86,903,802,26348.81,-0.85,5.2,16518,0.864,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Healthcare,Healthcare,45.0,1.5,Piloting,22.9,Diagnostic imaging & drug discovery,2021,4,2021-Q4,2021-10-01,True,False,IN,India,Asia-Pacific,Emerging,19085020.52,47.1,Developing,56.9,693.0
26.62,5.97,6.63,15150,4549,261308.78,-1.5,6.0,252503,0.724,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Education,Public Services,29.4,2.96,Mature,226.1,Adaptive learning platforms,2022,4,2022-Q4,2022-10-01,False,True,VN,Vietnam,Asia-Pacific,Emerging,9640897.23,54.9,Established,56.1,377.0
21.4,6.61,4.11,2309,1511,235376.82,-1.51,2.7,59603,0.911,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Legal Services,Professional Services,56.8,3.75,Piloting,8.6,Contract review & legal research,2021,2,2021-Q2,2021-04-01,True,False,BR,Brazil,Latin America,Emerging,12728373.53,50.6,Established,53.6,688.0
65.61,5.12,10.0,1371,591,160175.16,5.26,6.1,27638,0.87,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Pharmaceuticals,Healthcare,65.8,5.31,Mature,47.5,Drug discovery & clinical trial matching,2024,1,2024-Q1,2024-01-01,False,True,CN,China,Asia-Pacific,Emerging,7038473.41,58.4,Established,65.7,1306.0
29.48,3.95,9.54,934,294,92314.99,3.96,8.4,26471,0.819,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2023,3,2023-Q3,2023-07-01,False,True,NG,Nigeria,Africa,Emerging,11129326.1,47.8,Developing,57.4,1529.0
1.36,7.63,5.58,5986,3177,9999.83,5.38,3.1,117242,0.933,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,2022,1,2022-Q1,2022-01-01,True,False,ID,Indonesia,Asia-Pacific,Emerging,7463837.54,40.6,Developing,58.6,1520.0
47.66,2.76,2.24,216,94,15542.49,-2.2,6.8,15246,0.585,Creative & Design,CRE-DES,39.6,74.0,9.7,Bachelor's degree or portfolio-based,11.0,Media & Entertainment,Consumer,52.6,3.14,Scaling,176.9,Content recommendation & generation,2023,2,2023-Q2,2023-04-01,False,True,PH,Philippines,Asia-Pacific,Emerging,5380846.61,54.2,Developing,64.2,1780.0
32.14,4.35,6.53,864,236,63215.32,3.66,7.6,25148,0.863,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Insurance,Finance,64.8,2.13,Piloting,40.7,Underwriting & claims automation,2023,4,2023-Q4,2023-10-01,False,True,CN,China,Asia-Pacific,Emerging,7038473.41,58.4,Established,65.7,1306.0
32.24,6.43,1.57,1561,844,631012.02,1.88,0.0,154804,0.781,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Construction,Industrial,89.5,2.48,Piloting,38.7,Site safety monitoring & design automation,2021,2,2021-Q2,2021-04-01,True,False,JP,Japan,Asia-Pacific,Developed,27613361.71,69.8,Established,99.5,1723.0
19.83,6.73,1.29,197,49,305800.91,-0.68,8.4,21191,0.78,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Education,Public Services,29.4,2.96,Mature,226.1,Adaptive learning platforms,2024,4,2024-Q4,2024-10-01,False,True,NG,Nigeria,Africa,Emerging,11129326.1,47.8,Developing,57.4,1529.0
21.63,6.02,5.17,2422,1508,306831.28,2.34,6.5,54412,0.699,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Healthcare,Healthcare,45.0,1.5,Piloting,22.9,Diagnostic imaging & drug discovery,2021,2,2021-Q2,2021-04-01,True,False,SA,Saudi Arabia,Middle East,Emerging,6933195.37,35.5,Advanced,68.4,989.0
41.02,3.75,3.53,734,414,802497.18,-0.71,3.9,41313,0.639,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Information Technology,Technology,51.8,1.62,Scaling,12.1,Predictive analytics & code generation,2021,4,2021-Q4,2021-10-01,True,False,PL,Poland,Europe,Emerging,6965571.8,67.6,Developing,58.4,1469.0
35.52,4.75,0.37,18,9,36453.4,-0.3,12.6,9335,0.715,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,2024,1,2024-Q1,2024-01-01,False,True,JP,Japan,Asia-Pacific,Developed,27613361.71,69.8,Established,99.5,1723.0
53.03,4.69,2.14,236,120,202833.26,-1.12,8.7,27985,0.885,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,2023,2,2023-Q2,2023-04-01,False,True,CA,Canada,North America,Developed,40026686.31,84.5,Developing,81.3,1916.0
51.15,7.45,10.0,4652,1590,26591.43,-0.5,4.7,67450,0.838,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,2022,4,2022-Q4,2022-10-01,False,True,IT,Italy,Europe,Developed,16666483.59,62.1,Established,78.0,2000.0
8.62,7.77,5.75,238,155,271706.75,5.6,3.5,5284,0.909,Administrative & Clerical,ADM-CLR,48.4,66.3,8.2,Secondary education or diploma,13.0,Marketing & Advertising,Professional Services,19.8,1.31,Exploring,371.0,Ad targeting & content generation,2021,1,2021-Q1,2021-01-01,True,False,BR,Brazil,Latin America,Emerging,12728373.53,50.6,Established,53.6,688.0
11.6,4.71,4.31,377,154,24278.72,-5.83,5.3,25909,0.775,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Education,Public Services,29.4,2.96,Mature,226.1,Adaptive learning platforms,2023,1,2023-Q1,2023-01-01,False,True,MX,Mexico,Latin America,Emerging,6275753.65,48.7,Developing,76.9,667.0
20.49,6.58,2.37,879,681,34633.14,,0.0,39258,0.901,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Insurance,Finance,64.8,2.13,Piloting,40.7,Underwriting & claims automation,2022,3,2022-Q3,2022-07-01,False,False,CA,Canada,North America,Developed,40026686.31,84.5,Developing,81.3,1916.0
41.02,3.64,5.17,369,160,146390.42,2.06,5.6,7799,0.803,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Information Technology,Technology,51.8,1.62,Scaling,12.1,Predictive analytics & code generation,2023,2,2023-Q2,2023-04-01,False,True,NG,Nigeria,Africa,Emerging,11129326.1,47.8,Developing,57.4,1529.0
34.09,3.57,3.64,1482,764,41374.41,1.17,8.0,47621,0.955,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Information Technology,Technology,51.8,1.62,Scaling,12.1,Predictive analytics & code generation,2024,4,2024-Q4,2024-10-01,False,True,US,United States,North America,Developed,33586746.94,65.5,Nascent,95.5,2270.0
26.86,3.41,5.37,2754,1384,8815.66,-0.72,7.9,74705,0.748,Managerial & Strategic,MGT-STR,29.1,65.7,7.6,Bachelor's degree plus experience,24.0,Media & Entertainment,Consumer,52.6,3.14,Scaling,176.9,Content recommendation & generation,2024,4,2024-Q4,2024-10-01,False,True,SG,Singapore,Asia-Pacific,Developed,17849405.31,64.4,Developing,78.8,2049.0
61.4,6.49,4.12,78,22,61976.99,-3.48,6.7,2606,0.812,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Hospitality & Tourism,Consumer,38.1,1.48,Scaling,24.8,Dynamic pricing & guest personalisation,2023,4,2023-Q4,2023-10-01,False,True,IL,Israel,Middle East,Developed,19806557.87,81.8,Developing,96.4,2798.0
52.9,3.54,9.83,4350,1716,1132884.3,5.07,0.9,56971,0.871,Technical & Digital,TEC-DIG,50.1,50.0,9.9,Bachelor's degree or certification,18.3,Information Technology,Technology,51.8,1.62,Scaling,12.1,Predictive analytics & code generation,2023,3,2023-Q3,2023-07-01,False,True,MX,Mexico,Latin America,Emerging,6275753.65,48.7,Developing,76.9,667.0
39.4,4.93,8.05,17876,9906,60750.11,,5.3,391880,0.86,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Retail & E-commerce,Consumer,73.6,3.3,Piloting,47.4,Demand forecasting & personalisation,2023,1,2023-Q1,2023-01-01,False,True,EG,Egypt,Middle East,Emerging,9346417.78,69.6,Advanced,50.1,780.0
45.17,6.94,7.12,382,157,73416.56,4.97,2.9,13156,0.908,Cognitive & Analytical,COG-ANL,20.9,93.1,19.6,Bachelor's degree or higher,6.9,Telecommunications,Technology,32.9,1.74,Mature,97.4,Network optimisation & customer service bots,2021,3,2021-Q3,2021-07-01,True,False,US,United States,North America,Developed,33586746.94,65.5,Nascent,95.5,2270.0
0.5,8.34,6.07,229,92,201907.22,-4.39,4.6,5685,0.465,Manual & Physical,MAN-PHY,36.9,66.1,14.9,Vocational / on-the-job training,7.9,Marketing & Advertising,Professional Services,19.8,1.31,Exploring,371.0,Ad targeting & content generation,2021,2,2021-Q2,2021-04-01,True,False,IE,Ireland,Europe,Developed,25181304.06,70.7,Advanced,86.6,2333.0
31.65,8.12,5.95,7006,2905,110897.51,0.43,0.0,132939,0.727,Manual Skilled Trades,TRD-SKL,79.6,66.9,4.9,Apprenticeship or vocational certification,7.2,Food & Beverage,Consumer,12.1,2.51,Mature,21.0,Quality control & supply chain forecasting,2021,3,2021-Q3,2021-07-01,True,False,DE,Germany,Europe,Developed,42266884.66,87.3,Developing,88.7,2364.0
